"gene_id"	"cons_50kb"	"cons_100kb"	"cons_200kb"	"cons_500kb"	"cons_1000kb"
"ENSG00000006451"	0.02634	0.03717	0.02609	0.035338	0.051177
"ENSG00000006453"	0.01794	0.02788	0.024725	0.032694	0.030076
"ENSG00000006459"	0.04442	0.07209	0.04958	0.038952	0.0375692307692308
"ENSG00000006468"	0.11886	0.14702	0.100145	0.074938	0.065907
"ENSG00000006530"	0.02906	0.02693	0.0297	0.034684	0.035845
"ENSG00000006534"	0.08566	0.06634	0.05007	0.036576	0.034797
"ENSG00000006555"	0.06374	0.05311	0.052115	0.035642	0.051647
"ENSG00000006576"	0.02616	0.02731	0.047285	0.042234	0.043737
"ENSG00000006606"	0.00256	0.00935	0.009405	0.024378	0.024906
"ENSG00000006607"	0.02358	0.01811	0.02688	0.02799	0.027363
"ENSG00000006611"	0.09108	0.06999	0.069375	0.065346	0.065389
"ENSG00000006625"	0.01564	0.01189	0.028725	0.02996	0.033557
"ENSG00000006634"	0.04048	0.03845	0.035795	0.02936	0.040749
"ENSG00000006638"	0.0849	0.06908	0.054285	0.04971	0.049332
"ENSG00000006652"	0.05266	0.03777	0.03305	0.029374	0.033669
"ENSG00000006659"	0	0	0.00214	0.04206	0.049597
"ENSG00000006695"	0.05886	0.06312	0.05153	0.040726	0.034713
"ENSG00000006704"	0.0441	0.03251	0.029615	0.033178	0.032323
"ENSG00000006712"	0.19252	0.15102	0.12847	0.065606	0.049193
"ENSG00000006715"	0.0597	0.06707	0.05432	0.04337	0.050831
"ENSG00000006740"	0.00752	0.01075	0.021735	0.035616	0.036189
"ENSG00000006744"	0.06038	0.04748	0.03708	0.031962	0.035621
"ENSG00000006747"	0.0209	0.02724	0.02652	0.025882	0.024106
"ENSG00000006788"	0.08422	0.06901	0.071105	0.078402	0.058522
"ENSG00000006831"	0.00964	0.03105	0.03541	0.039238	0.037189
"ENSG00000006837"	0.03064	0.02653	0.040075	0.059472	0.060536
"ENSG00000007001"	0.06518	0.0529	0.05115	0.068678	0.056516
"ENSG00000007038"	0.0217	0.02985	0.065365	0.064952	0.058467
"ENSG00000007047"	0.0341	0.07721	0.05864	0.067872	0.067654
"ENSG00000007062"	0.01434	0.01372	0.010395	0.014242	0.02489
"ENSG00000007080"	0.0217	0.0265	0.04587	0.048424	0.050435
"ENSG00000007129"	0.00076	0.00978	0.01258	0.024806	0.050926
"ENSG00000007168"	0.00934	0.07411	0.07768	0.056456	0.07344
"ENSG00000007171"	0.07318	0.04352	0.027165	0.042328	0.047454
"ENSG00000007174"	0.04902	0.05182	0.05168	0.045292	0.037231
"ENSG00000007202"	0.2047	0.1554	0.173055	0.124982	0.128832
"ENSG00000007216"	0.08504	0.09287	0.09778	0.113524	0.112637
"ENSG00000007237"	0.02684	0.02341	0.02252	0.027424	0.054156
"ENSG00000007255"	0.0738	0.0648	0.063505	0.066732	0.066482
"ENSG00000007264"	0.0537	0.05028	0.034925	0.04715	0.049121
"ENSG00000007306"	0.00764	0.00704	0.00592	0.03533	0.06493
"ENSG00000007312"	0.1195	0.10563	0.089675	0.088988	0.0798536842105263
"ENSG00000007314"	0.14512	0.10677	0.07971	0.08166	0.0805694736842105
"ENSG00000007341"	0.07222	0.10066	0.08922	0.073248	0.05609
"ENSG00000007372"	0.30892	0.21763	0.14028	0.10087	0.077742
"ENSG00000007376"	0.08424	0.04637	0.06071	0.065974	0.0522
"ENSG00000007384"	0.10404	0.06912	0.0563468083076238	NA	NA
"ENSG00000007392"	0.05102	0.03633	0.046565	0.0498826839769019	NA
"ENSG00000007402"	0.09796	0.1025	0.1434	0.125054	0.086555
"ENSG00000007516"	0.10242	0.06118	0.045515	0.050496	0.045434
"ENSG00000007520"	0.09922	0.06429	0.04984	0.050262	0.045609
"ENSG00000007541"	0.09344	0.06713	0.074695	0.071928	0.052496
"ENSG00000007545"	0.04568	0.03963	0.035515	0.05336	0.067559
"ENSG00000007866"	0.12118	0.07899	0.05698	0.065746	0.062109
"ENSG00000007908"	0.02774	0.03293	0.02852	0.041512	0.039893
"ENSG00000007923"	0.03606	0.04903	0.0677	0.07585	0.063767
"ENSG00000007933"	0.02594	0.02472	0.020745	0.022806	0.036572
"ENSG00000007944"	0.07486	0.04819	0.034395	0.040744	0.035409
"ENSG00000007968"	0.06786	0.08168	0.072985	0.069198	0.066243
"ENSG00000008018"	0.03112	0.02979	0.020115	0.0173214890503839	NA
"ENSG00000008083"	0.05318	0.04127	0.041275	0.051634	0.041047
"ENSG00000008118"	0.07762	0.07055	0.057745	0.066814	0.059183
"ENSG00000008128"	0.07224	0.05944	0.06859	0.048036	0.048875
"ENSG00000008130"	0.05528	0.04445	0.041445	0.045172	0.048212
"ENSG00000008196"	0.25392	0.16236	0.108565	0.097316	0.081536
"ENSG00000008197"	0.0714	0.11729	0.117	0.097814	0.078569
"ENSG00000008226"	0.02964	0.04061	0.058465	0.044644	0.042476
"ENSG00000008256"	0.00666	0.02289	0.03671	0.036974	0.038376
"ENSG00000008277"	0.02286	0.02744	0.031635	0.0449	0.037188
"ENSG00000008282"	0.04946	0.03813	0.04049	0.03828	0.038977
"ENSG00000008283"	0.13206	0.12235	0.103945	0.069186	0.071159
"ENSG00000008294"	0.0477	0.05404	0.059195	0.06701	0.074996
"ENSG00000008300"	0.26138	0.19713	0.158635	0.099836	0.085993
"ENSG00000008311"	0.05128	0.04133	0.05357	0.052896	0.048132
"ENSG00000008323"	0.06814	0.05012	0.043745	0.050612	0.067728
"ENSG00000008324"	0.02788	0.07383	0.08307	0.051108	0.04092
"ENSG00000008382"	0.06432	0.05497	0.04849	0.04938	0.048049
"ENSG00000008394"	0.09858	0.09195	0.097685	0.096744	0.089219
"ENSG00000008405"	0.01752	0.02956	0.04467	0.050408	0.04885
"ENSG00000008438"	0.04144	0.04099	0.048575	0.058458	0.055307
"ENSG00000008441"	0.14682	0.16633	0.14078	0.10727	0.083459
"ENSG00000008513"	0.00724	0.01047	0.01115	0.012414	0.015032
"ENSG00000008516"	0.0448	0.08204	0.081305	0.05439	0.054026
"ENSG00000008517"	0.04632	0.06345	0.06867	0.055662	0.054832
"ENSG00000008710"	0.17334	0.13386	0.13158	0.096578	0.076305
"ENSG00000008735"	0.07448	0.07452	0.0774	0.0731988279987968	NA
"ENSG00000008838"	0.14168	0.1324	0.16961	0.115888	0.125433
"ENSG00000008853"	0.0851	0.04637	0.027395	0.035464	0.055557
"ENSG00000008869"	0.06302	0.06635	0.052845	0.05473	0.051686
"ENSG00000008952"	0.05822	0.03785	0.029645	0.046156	0.068457
"ENSG00000008988"	0.04212	0.03641	0.052025	0.042912	0.029124
"ENSG00000009307"	0.14144	0.11117	0.078505	0.059628	0.05035
"ENSG00000009335"	0.05466	0.0509	0.033435	0.032556	0.028649
"ENSG00000009413"	0.13064	0.08577	0.078945	0.062696	0.056252
"ENSG00000009709"	0.06526	0.10066	0.086865	0.061148	0.062724
"ENSG00000009724"	0.1448	0.08741	0.082025	0.087808	0.100096
"ENSG00000009765"	0.02226	0.01506	0.013325	0.01918	0.020198
"ENSG00000009780"	0.07502	0.05431	0.0517	0.102868	0.094231
"ENSG00000009790"	0.09358	0.0737	0.0637	0.054422	0.062218
"ENSG00000009830"	0.07062	0.07585	0.05552	0.0511	0.052954
"ENSG00000009844"	0.03036	0.02399	0.0241	0.034812	0.027646
"ENSG00000009950"	0.0591	0.04641	0.061195	0.05116	0.049193
"ENSG00000009954"	0.06624	0.08613	0.06045	0.05864	0.046341
"ENSG00000010017"	0.02156	0.05158	0.03617	0.022948	0.026086
"ENSG00000010030"	0.01746	0.01687	0.02079	0.049702	0.046294
"ENSG00000010072"	0.08296	0.04449	0.03858	0.032106	0.02649
"ENSG00000010165"	0.05014	0.04557	0.037325	0.036404	0.040765
"ENSG00000010219"	0.03404	0.05464	0.04731	0.039356	0.045546
"ENSG00000010244"	0.10418	0.07642	0.067985	0.068202	0.056662
"ENSG00000010256"	0.15508	0.19351	0.156415	0.097524	0.075966
"ENSG00000010270"	0.01664	0.01793	0.014635	0.018628	0.018295
"ENSG00000010278"	0.04148	0.02356	0.022315	0.040094	0.063962
"ENSG00000010282"	0.09614	0.09817	0.088825	0.053784	0.03969
"ENSG00000010292"	0.10946	0.11076	0.11668	0.093954	0.089786
"ENSG00000010295"	0.17374	0.14573	0.13028	0.103812	0.088037
"ENSG00000010310"	0.05904	0.07423	0.080825	0.089872	0.074575
"ENSG00000010318"	0.1962	0.15989	0.1499	0.122032	0.098919
"ENSG00000010319"	0.11874	0.15874	0.16736	0.125648	0.098743
"ENSG00000010322"	0.13286	0.15583	0.176095	0.123016	0.092893
"ENSG00000010327"	0.2159	0.1922	0.14417	0.11482	0.090681
"ENSG00000010361"	0.1335	0.10741	0.095245	0.081976	0.06975
"ENSG00000010379"	0.0451	0.06508	0.06616	0.0467403674199317	NA
"ENSG00000010438"	0.0111	0.02125	0.02079	0.02464	0.038737
"ENSG00000010539"	0.05896	0.03857	0.056155	0.049208	0.05508
"ENSG00000010610"	0.0798	0.1348	0.11022	0.128398	0.100105263157895
"ENSG00000010626"	0.08544	0.15582	0.145765	0.11806	0.0955515789473684
"ENSG00000010704"	0.0196	0.03928	0.04541	0.03863	0.029352
"ENSG00000010803"	0.04316	0.03546	0.037715	0.053046	0.068875
"ENSG00000010810"	0.04318	0.04482	0.063555	0.061076	0.062895
"ENSG00000010818"	0.08378	0.08061	0.11123	0.061908	0.053048
"ENSG00000010932"	0.02906	0.01484	0.02635	0.021318	0.029928
"ENSG00000011007"	0.06126	0.08168	0.05279	0.061618	0.058643
"ENSG00000011009"	0.11612	0.08686	0.05885	0.055548	0.05895
"ENSG00000011021"	0.09302	0.06695	0.047635	0.0527	0.049507
"ENSG00000011028"	0.0705	0.09101	0.06857	0.060066	0.053705
"ENSG00000011052"	0.0967	0.09157	0.068135	0.060464	0.059042
"ENSG00000011083"	0.10214	0.09739	0.105465	0.084116	0.076612
"ENSG00000011105"	0.07476	0.06634	0.05313	0.036322	0.039721
"ENSG00000011114"	0.0465	0.06732	0.052035	0.042914	0.041224
"ENSG00000011132"	0.08118	0.05795	0.03572	0.046258	0.04935
"ENSG00000011143"	0.07888	0.06177	0.070805	0.102388	0.090464
"ENSG00000011198"	0.03828	0.02838	0.023815	0.024084	0.028608
"ENSG00000011243"	0.09764	0.12574	0.087635	0.074752	0.053041
"ENSG00000011258"	0.0717	0.09906	0.071665	0.05624	0.054898
"ENSG00000011260"	0.07662	0.04235	0.06016	0.05033	0.054685
"ENSG00000011275"	0.04388	0.03568	0.03203	0.034228	0.044099
"ENSG00000011295"	0.05548	0.06741	0.051535	0.037776	0.034087
"ENSG00000011304"	0.09164	0.05434	0.056015	0.064864	0.063031
"ENSG00000011332"	0.09768	0.06818	0.055735	0.064762	0.066102
"ENSG00000011347"	0.15656	0.13685	0.083985	0.092552	0.063515
"ENSG00000011376"	0.0291	0.02443	0.022165	0.02096	0.026719
"ENSG00000011405"	0.06606	0.06942	0.05438	0.045878	0.056195
"ENSG00000011422"	0.05416	0.0589	0.061085	0.052814	0.03053
"ENSG00000011426"	0.05388	0.04283	0.03718	0.028698	0.026386
"ENSG00000011451"	0.19154	0.14029	0.088125	0.069306	0.053606
"ENSG00000011454"	0.07442	0.0634	0.05939	0.084946	0.073786
"ENSG00000011465"	0.06546	0.04236	0.03774	0.033888	0.030687
"ENSG00000011478"	0.08996	0.05828	0.09418	0.096396	0.073918
"ENSG00000011485"	0.05032	0.04933	0.038065	0.028296	0.047676
"ENSG00000011523"	0.06392	0.0404	0.04043	0.040302	0.056079
"ENSG00000011566"	0.02308	0.03025	0.041415	0.041824	0.054048
"ENSG00000011590"	0.1892	0.1541	0.136315	0.100972	0.077723
"ENSG00000011600"	0.05622	0.10241	0.07961	0.101578	0.071752
"ENSG00000011638"	0.01958	0.02898	0.03681	0.039184	0.048471
"ENSG00000012048"	0.0839	0.07693	0.081135	0.068844	0.086745
"ENSG00000012061"	0.05192	0.09125	0.097725	0.075806	0.082392
"ENSG00000012124"	0.05624	0.06082	0.055255	0.05319	0.063518
"ENSG00000012223"	0.02388	0.01427	0.017435	0.02233	0.027524
"ENSG00000012232"	0.02492	0.03829	0.0319	0.043704	0.048819
"ENSG00000012504"	0.05234	0.04314	0.041915	0.039816	0.037692
"ENSG00000012660"	0.0164	0.03436	0.024145	0.026518	0.026017
"ENSG00000012779"	0.01556	0.03269	0.024285	0.019436	0.026149
"ENSG00000012822"	0.14604	0.12076	0.111375	0.122816	0.154779
"ENSG00000012963"	0.0869	0.07642	0.051355	0.036144	0.039749
"ENSG00000012983"	0.02826	0.04505	0.04621	0.04565	0.050521
"ENSG00000013016"	0.055	0.04324	0.0368	0.039814	0.0313
"ENSG00000013275"	0.03538	0.05358	0.053635	0.049962	0.044349
"ENSG00000013288"	0.02936	0.02126	0.01392	0.014132	0.020968
"ENSG00000013293"	0.03346	0.04626	0.04785	0.041872	0.039482
"ENSG00000013297"	0.01202	0.01633	0.02018	0.034786	0.041751
"ENSG00000013306"	0.08116	0.09634	0.110905	0.123874	0.095394
"ENSG00000013364"	0.13986	0.14985	0.10602	0.088016	0.075497
"ENSG00000013374"	0.04098	0.03006	0.023555	0.06397	0.065196
"ENSG00000013375"	0.08612	0.09662	0.069575	0.042132	0.03822
"ENSG00000013392"	0.053	0.06403	0.069695	0.04198	0.038129
"ENSG00000013441"	0.0649	0.07611	0.061555	0.055378	0.046709
"ENSG00000013503"	0.08738	0.05756	0.063015	0.04633	0.058709
"ENSG00000013523"	0.08836	0.0661	0.041215	0.054812	0.054996
"ENSG00000013561"	0.14256	0.11261	0.086665	0.09829	0.102301
"ENSG00000013573"	0.0529	0.03895	0.03028	0.027442	0.035459
"ENSG00000013583"	0.02726	0.03405	0.03545	0.039852	0.045087
"ENSG00000013588"	0.02618	0.03674	0.036725	0.046678	0.044185
"ENSG00000013725"	0.02552	0.02301	0.04956	0.035388	0.037491
"ENSG00000013810"	0.04252	0.05017	0.05556	0.049454	0.0415193223928004
"ENSG00000014123"	0.06918	0.04328	0.035145	0.023718	0.028503
"ENSG00000014138"	0.04216	0.03619	0.057985	0.069984	0.094599
"ENSG00000014164"	0.0721	0.05963	0.066	0.050382	0.058152
"ENSG00000014216"	0.077	0.04968	0.074925	0.06642	0.108123
"ENSG00000014257"	0.01906	0.02484	0.01976	0.034402	0.034169
"ENSG00000014641"	0.07806	0.05036	0.04978	0.054768	0.047934
"ENSG00000014824"	0.03746	0.04202	0.048975	0.070522	0.073318
"ENSG00000014914"	0.1964	0.15	0.10939	0.068672	0.0607115789473684
"ENSG00000014919"	0.0738	0.06256	0.048435	0.051262	0.050773
"ENSG00000015133"	0.03456	0.04348	0.0381	0.034704	0.032688
"ENSG00000015153"	0.01818	0.04571	0.03439	0.038492	0.046104
"ENSG00000015171"	0.01852	0.02404	0.03987	NA	NA
"ENSG00000015413"	0.0278	0.0317	0.0472	0.031194	0.032866
"ENSG00000015475"	0.00512	0.02764	0.033585	0.035602	0.02788
"ENSG00000015479"	0.1385	0.09996	0.093965	0.0917666666666667	0.0938368421052632
"ENSG00000015520"	0.06082	0.04965	0.03802	0.034748	0.044686
"ENSG00000015532"	0.10342	0.07845	0.04997	0.106054	0.097066
"ENSG00000015568"	0.0669	0.04347	0.047775	0.030262	0.0250769230769231
"ENSG00000015592"	0.04256	0.03292	0.02535	0.029192	0.029109
"ENSG00000015676"	0.01004	0.01728	0.021465	0.034296	0.043922
"ENSG00000016082"	0.18472	0.10653	0.08562	0.066796	0.06234
"ENSG00000016391"	0.07298	0.10585	0.083025	0.064528	0.059967
"ENSG00000016402"	0.02782	0.01907	0.030425	0.02921	0.040862
"ENSG00000016490"	0.04432	0.0388	0.036525	0.035206	0.035499
"ENSG00000016602"	0.03764	0.01992	0.03088	0.036648	0.036983
"ENSG00000016864"	0.09378	0.0622	0.0701	0.091782	0.089859
"ENSG00000017260"	0.0319	0.03779	0.042	0.035304	0.029748
"ENSG00000017373"	0.14416	0.12311	0.086345	0.10608	0.072663
"ENSG00000017427"	0.13038	0.16093	0.10731	0.07221	0.058121
"ENSG00000017797"	0.03008	0.04176	0.035925	0.030074	0.027458
"ENSG00000018189"	0.02838	0.0452	0.05061	0.042098	0.035649
"ENSG00000018236"	0.00426	0.01246	0.023695	0.023196	0.026992
"ENSG00000018280"	0.08212	0.08233	0.070495	0.069288	0.070862
"ENSG00000018408"	0.0501	0.05762	0.04542	0.034468	0.036874
"ENSG00000018510"	0.048	0.05297	0.06886	0.077648	0.074482
"ENSG00000018625"	0.09622	0.11614	0.125955	0.106926	0.071127
"ENSG00000018699"	0.03014	0.02706	0.033725	0.04416	0.046835
"ENSG00000018869"	0.0077	0.01522	0.018195	0.019716	0.017974
"ENSG00000019102"	0.1383	0.10852	0.084735	0.070758	0.058713
"ENSG00000019144"	0.18804	0.14157	0.09227	0.106548	0.10208
"ENSG00000019169"	0.01816	0.01401	0.01582	0.04597	0.049542
"ENSG00000019186"	0.03654	0.02201	0.02029	0.026746	0.023741
"ENSG00000019485"	0.06116	0.043	0.057415	0.035088	0.031938
"ENSG00000019505"	0.0345	0.0679	0.051745	0.035988	0.033482
"ENSG00000019549"	0.05924	0.03119	0.019825	0.016034	0.014887
"ENSG00000019582"	0.0603	0.05176	0.061195	0.080346	0.068917
"ENSG00000019991"	0.07518	0.09245	0.071015	0.05642	0.040144
"ENSG00000019995"	0.10158	0.06949	0.05246	0.061432	0.047278
"ENSG00000020129"	0.18682	0.13525	0.103635	0.088814	0.08221
"ENSG00000020181"	0.09392	0.09075	0.07852	0.061056	0.065814
"ENSG00000020256"	0.02756	0.03595	0.02915	0.04094	0.048185
"ENSG00000020426"	0.0287	0.03857	0.04516	0.083984	0.073028
"ENSG00000020577"	0.08642	0.07895	0.072145	0.060826	0.062451
"ENSG00000020633"	0.08252	0.07035	0.052425	0.040388	0.039163
"ENSG00000020922"	0.03628	0.03666	0.03186	0.021096	0.023559
"ENSG00000021300"	0.0722	0.05	0.061075	0.059794	0.06129
"ENSG00000021355"	0.01618	0.00875	0.022935	0.024944	0.033019
"ENSG00000021461"	0.01276	0.01424	0.019005	0.037632	0.053774
"ENSG00000021488"	0.03378	0.03287	0.025655	0.030206	0.042471
"ENSG00000021574"	0.02678	0.03968	0.037995	0.041374	0.039112
"ENSG00000021645"	0.07388	0.06746	0.066705	0.060818	0.060289
"ENSG00000021762"	0.02228	0.02294	0.016555	0.019808	0.028361
"ENSG00000021776"	0.06128	0.06061	0.053995	0.070994	0.064815
"ENSG00000021826"	0.09624	0.10105	0.093765	0.06155	0.049903
"ENSG00000021852"	0.08638	0.0858	0.084525	0.066622	0.069669
"ENSG00000022277"	0.02584	0.02607	0.02472	0.025546	0.026387
