"gene_id"	"n_genes_50kb"	"n_genes_100kb"	"n_genes_200kb"	"n_genes_500kb"	"n_genes_1000kb"
"ENSG00000069702"	1	1	1	3	9
"ENSG00000069712"	1	3	4	7	10
"ENSG00000069812"	3	5	5	18	22
"ENSG00000070759"	1	1	7	12	18
"ENSG00000070785"	1	1	5	13	18
"ENSG00000070831"	1	2	4	6	11
"ENSG00000070886"	1	1	5	6	11
"ENSG00000072694"	3	3	5	9	27
"ENSG00000073754"	1	2	3	5	12
"ENSG00000073756"	1	1	1	3	9
"ENSG00000074800"	1	1	3	6	8
"ENSG00000074964"	1	1	1	3	9
"ENSG00000075151"	1	1	1	3	11
"ENSG00000075391"	1	1	1	2	6
"ENSG00000075945"	1	1	1	6	9
"ENSG00000076258"	1	2	2	6	10
"ENSG00000076321"	1	2	4	8	10
"ENSG00000076356"	1	1	1	2	5
"ENSG00000076864"	1	2	3	6	12
"ENSG00000077152"	3	3	3	6	15
"ENSG00000077157"	1	1	1	4	15
"ENSG00000077254"	1	2	3	6	8
"ENSG00000077522"	1	1	2	5	8
"ENSG00000077549"	1	1	2	10	15
"ENSG00000077585"	1	2	2	4	7
"ENSG00000078369"	1	1	6	14	36
"ENSG00000078618"	1	2	3	6	9
"ENSG00000078808"	5	7	11	31	48
"ENSG00000078900"	1	2	7	11	12
"ENSG00000079277"	2	4	7	10	20
"ENSG00000079335"	1	1	1	4	12
"ENSG00000079739"	1	2	4	6	7
"ENSG00000080910"	2	2	5	8	11
"ENSG00000081019"	1	3	4	9	10
"ENSG00000081026"	1	1	1	3	10
"ENSG00000081237"	1	1	1	2	3
"ENSG00000081248"	1	2	4	9	16
"ENSG00000081277"	1	1	5	10	16
"ENSG00000081692"	2	2	4	5	16
"ENSG00000081721"	2	4	5	10	15
"ENSG00000081870"	3	4	6	13	17
"ENSG00000081985"	1	1	3	4	9
"ENSG00000082482"	1	1	1	1	3
"ENSG00000082497"	1	1	3	3	8
"ENSG00000082512"	1	2	2	5	7
"ENSG00000083444"	1	3	5	13	19
"ENSG00000084070"	1	1	5	10	17
"ENSG00000084072"	1	4	6	12	16
"ENSG00000084073"	3	4	5	10	17
"ENSG00000084623"	7	8	10	17	25
"ENSG00000084628"	1	2	3	7	14
"ENSG00000084636"	1	4	5	10	17
"ENSG00000084652"	5	7	10	17	26
"ENSG00000085433"	1	3	7	11	23
"ENSG00000085465"	2	3	6	11	16
"ENSG00000085491"	1	1	2	4	6
"ENSG00000085552"	3	5	9	17	29
"ENSG00000085831"	1	3	3	4	8
"ENSG00000085832"	1	1	2	4	9
"ENSG00000085840"	4	5	5	7	14
"ENSG00000085998"	3	5	7	10	18
"ENSG00000085999"	2	5	8	11	18
"ENSG00000086015"	1	1	1	5	20
"ENSG00000086619"	1	2	3	4	8
"ENSG00000088035"	1	2	3	6	7
"ENSG00000088280"	1	3	5	9	21
"ENSG00000090020"	1	1	1	14	22
"ENSG00000090104"	1	1	2	4	7
"ENSG00000090273"	3	5	9	12	24
"ENSG00000090432"	2	3	4	10	16
"ENSG00000090621"	1	2	5	10	14
"ENSG00000090686"	1	1	4	7	11
"ENSG00000091483"	2	2	3	6	8
"ENSG00000092607"	1	1	2	2	4
"ENSG00000092621"	1	2	4	7	9
"ENSG00000092847"	1	3	3	9	21
"ENSG00000092850"	4	4	6	12	21
"ENSG00000092853"	1	2	3	9	16
"ENSG00000092969"	1	1	2	3	3
"ENSG00000092978"	1	1	1	2	3
"ENSG00000094963"	1	3	4	6	9
"ENSG00000094975"	1	1	2	5	6
"ENSG00000097021"	1	1	6	14	22
"ENSG00000097033"	1	1	1	5	8
"ENSG00000097046"	1	1	1	3	5
"ENSG00000097096"	1	2	4	7	11
"ENSG00000099260"	1	2	2	3	9
"ENSG00000107404"	5	9	17	29	49
"ENSG00000116128"	1	2	2	3	8
"ENSG00000116132"	1	1	1	3	6
"ENSG00000116133"	1	2	3	12	13
"ENSG00000116138"	2	3	6	14	24
"ENSG00000116141"	1	1	2	5	8
"ENSG00000116147"	1	1	1	1	4
"ENSG00000116151"	1	5	6	15	21
"ENSG00000116157"	1	2	4	9	14
"ENSG00000116161"	3	3	4	5	6
"ENSG00000116171"	1	1	5	9	15
"ENSG00000116183"	1	1	1	2	3
"ENSG00000116191"	1	2	2	3	10
"ENSG00000116194"	2	2	2	5	10
"ENSG00000116198"	2	3	7	10	12
"ENSG00000116199"	1	3	3	6	9
"ENSG00000116205"	2	3	7	15	17
"ENSG00000116209"	3	3	7	15	17
"ENSG00000116212"	2	3	7	14	17
"ENSG00000116213"	3	4	4	12	12
"ENSG00000116218"	2	3	4	6	13
"ENSG00000116221"	3	5	8	11	19
"ENSG00000116237"	5	7	7	14	21
"ENSG00000116251"	3	5	8	12	21
"ENSG00000116254"	1	3	6	10	21
"ENSG00000116260"	1	1	4	4	10
"ENSG00000116266"	1	3	5	9	16
"ENSG00000116273"	4	6	8	13	19
"ENSG00000116285"	1	2	3	7	9
"ENSG00000116288"	1	3	3	7	9
"ENSG00000116299"	1	2	6	14	27
"ENSG00000116329"	1	2	3	6	13
"ENSG00000116337"	2	5	8	16	26
"ENSG00000116350"	1	4	5	5	8
"ENSG00000116353"	2	3	5	5	8
"ENSG00000116396"	1	2	3	10	16
"ENSG00000116406"	1	1	3	3	6
"ENSG00000116455"	3	5	7	11	16
"ENSG00000116459"	3	5	6	10	16
"ENSG00000116473"	1	1	3	9	15
"ENSG00000116478"	2	5	10	17	26
"ENSG00000116489"	2	3	7	9	11
"ENSG00000116497"	3	4	7	14	22
"ENSG00000116514"	2	3	7	12	19
"ENSG00000116521"	5	8	15	25	37
"ENSG00000116525"	1	2	4	8	18
"ENSG00000116539"	1	1	1	14	40
"ENSG00000116544"	1	2	4	9	11
"ENSG00000116560"	1	1	3	6	15
"ENSG00000116574"	1	1	1	4	9
"ENSG00000116580"	1	1	5	12	28
"ENSG00000116584"	1	4	10	18	31
"ENSG00000116586"	4	7	8	22	32
"ENSG00000116604"	1	2	5	23	41
"ENSG00000116641"	1	3	3	5	8
"ENSG00000116649"	3	5	6	8	11
"ENSG00000116652"	3	4	4	7	7
"ENSG00000116661"	4	5	6	12	20
"ENSG00000116663"	5	5	7	12	21
"ENSG00000116667"	1	1	1	2	5
"ENSG00000116668"	1	1	3	5	6
"ENSG00000116670"	4	5	7	13	21
"ENSG00000116675"	1	1	4	4	7
"ENSG00000116678"	1	1	2	3	5
"ENSG00000116679"	2	2	2	4	6
"ENSG00000116685"	2	2	7	15	19
"ENSG00000116688"	3	3	5	13	19
"ENSG00000116690"	2	2	5	7	8
"ENSG00000116691"	2	3	5	12	19
"ENSG00000116698"	2	2	3	6	9
"ENSG00000116701"	2	2	5	6	10
"ENSG00000116703"	1	2	5	7	9
"ENSG00000116704"	1	2	3	7	11
"ENSG00000116711"	1	1	1	2	4
"ENSG00000116717"	2	2	2	2	8
"ENSG00000116721"	2	4	9	15	18
"ENSG00000116726"	3	5	7	15	18
"ENSG00000116729"	1	1	1	2	6
"ENSG00000116731"	1	1	1	3	8
"ENSG00000116741"	1	1	1	5	9
"ENSG00000116745"	1	2	2	3	4
"ENSG00000116747"	3	4	4	5	8
"ENSG00000116748"	3	4	5	8	10
"ENSG00000116750"	2	2	4	6	8
"ENSG00000116752"	2	2	4	7	11
"ENSG00000116754"	2	3	4	6	6
"ENSG00000116761"	1	2	3	5	7
"ENSG00000116771"	2	3	6	14	24
"ENSG00000116774"	2	2	5	9	11
"ENSG00000116783"	2	2	3	6	8
"ENSG00000116785"	1	4	5	7	11
"ENSG00000116786"	1	6	6	13	24
"ENSG00000116791"	2	3	3	6	9
"ENSG00000116793"	1	3	4	8	10
"ENSG00000116809"	2	3	7	13	26
"ENSG00000116815"	1	2	2	6	10
"ENSG00000116819"	3	4	4	8	13
"ENSG00000116824"	1	1	3	6	11
"ENSG00000116830"	1	3	5	5	9
"ENSG00000116833"	1	1	1	1	3
"ENSG00000116852"	1	2	3	8	16
"ENSG00000116857"	1	4	4	9	17
"ENSG00000116863"	4	5	6	13	21
"ENSG00000116871"	2	3	7	14	19
"ENSG00000116874"	1	1	2	2	5
"ENSG00000116882"	1	2	2	5	9
"ENSG00000116883"	5	5	7	14	18
"ENSG00000116885"	2	5	5	9	16
"ENSG00000116898"	3	3	5	9	16
"ENSG00000116903"	2	3	5	7	12
"ENSG00000116906"	2	3	5	7	13
"ENSG00000116918"	1	1	2	5	8
"ENSG00000116922"	2	3	5	15	19
"ENSG00000116954"	3	4	4	7	7
"ENSG00000116957"	1	2	4	6	8
"ENSG00000116962"	1	1	1	4	7
"ENSG00000116977"	2	2	3	4	9
"ENSG00000116981"	2	4	6	12	16
"ENSG00000116983"	3	4	6	11	16
"ENSG00000116984"	1	1	2	5	7
"ENSG00000116985"	3	3	5	11	18
"ENSG00000116990"	2	2	3	10	20
"ENSG00000116991"	1	1	1	1	4
"ENSG00000116996"	1	1	3	3	3
"ENSG00000117000"	1	2	4	9	19
"ENSG00000117009"	1	3	5	6	8
"ENSG00000117010"	2	3	5	10	18
"ENSG00000117013"	1	3	3	7	13
"ENSG00000117016"	1	2	3	9	16
"ENSG00000117020"	1	1	1	2	6
"ENSG00000117036"	1	2	3	6	18
"ENSG00000117054"	1	3	3	5	6
"ENSG00000117069"	1	1	1	2	4
"ENSG00000117090"	1	2	3	9	30
"ENSG00000117091"	1	3	3	9	33
"ENSG00000117114"	1	1	1	1	1
"ENSG00000117115"	1	2	3	9	14
"ENSG00000117118"	2	3	5	7	14
"ENSG00000117122"	3	4	5	7	14
"ENSG00000117133"	2	2	5	7	11
"ENSG00000117139"	1	1	3	9	17
"ENSG00000117143"	1	1	3	10	11
"ENSG00000117148"	1	1	2	2	6
"ENSG00000117151"	1	1	5	8	12
"ENSG00000117152"	1	2	2	4	7
"ENSG00000117153"	2	3	6	11	17
"ENSG00000117154"	1	1	1	2	4
"ENSG00000117155"	1	2	3	6	13
"ENSG00000117174"	1	1	3	4	7
"ENSG00000117215"	3	4	5	9	19
"ENSG00000117222"	2	4	5	8	12
"ENSG00000117226"	3	4	5	10	11
"ENSG00000117228"	1	3	6	10	12
"ENSG00000117245"	1	4	6	10	12
"ENSG00000117262"	1	2	5	10	19
"ENSG00000117266"	1	1	4	11	19
"ENSG00000117280"	3	3	6	10	17
"ENSG00000117281"	3	3	5	15	20
"ENSG00000117289"	3	5	9	15	21
"ENSG00000117298"	1	1	1	4	7
"ENSG00000117305"	4	5	7	12	22
"ENSG00000117308"	4	6	7	12	21
"ENSG00000117318"	2	3	4	14	22
"ENSG00000117322"	2	2	2	4	11
"ENSG00000117335"	1	2	2	5	7
"ENSG00000117360"	1	3	7	16	36
"ENSG00000117362"	4	6	8	12	37
"ENSG00000117385"	3	3	8	10	17
"ENSG00000117394"	1	1	3	11	23
"ENSG00000117395"	2	2	6	12	22
"ENSG00000117399"	4	6	10	13	16
"ENSG00000117400"	4	6	10	13	17
"ENSG00000117407"	3	6	8	10	16
"ENSG00000117408"	5	8	8	9	14
"ENSG00000117410"	6	8	8	11	14
"ENSG00000117411"	6	7	8	11	14
"ENSG00000117419"	1	1	2	4	17
"ENSG00000117425"	4	6	8	14	17
"ENSG00000117448"	2	4	8	14	16
"ENSG00000117450"	3	5	6	14	15
"ENSG00000117461"	1	1	5	9	19
"ENSG00000117472"	4	4	6	10	20
"ENSG00000117475"	3	3	4	7	12
"ENSG00000117477"	1	3	5	7	13
"ENSG00000117479"	2	3	4	9	13
"ENSG00000117480"	1	2	3	14	18
"ENSG00000117481"	1	4	5	12	18
"ENSG00000117500"	2	3	3	5	9
"ENSG00000117501"	1	1	2	5	9
"ENSG00000117505"	1	1	3	6	7
"ENSG00000117507"	1	3	5	6	9
"ENSG00000117519"	2	2	3	5	8
"ENSG00000117523"	1	1	2	5	11
"ENSG00000117525"	2	2	2	2	7
"ENSG00000117528"	1	1	2	3	6
"ENSG00000117533"	1	1	3	5	7
"ENSG00000117543"	2	3	3	5	8
"ENSG00000117560"	1	1	2	5	6
"ENSG00000117569"	1	1	1	1	2
"ENSG00000117586"	1	1	1	2	5
"ENSG00000117592"	2	2	2	4	11
"ENSG00000117593"	2	3	6	8	10
"ENSG00000117594"	1	3	7	9	9
"ENSG00000117595"	3	4	5	9	10
"ENSG00000117597"	1	2	5	9	11
"ENSG00000117598"	1	1	1	2	3
"ENSG00000117600"	1	1	1	1	4
"ENSG00000117601"	3	3	5	8	10
"ENSG00000117602"	1	3	3	7	11
"ENSG00000117614"	2	3	3	6	10
"ENSG00000117616"	2	3	5	6	10
"ENSG00000117620"	1	2	4	8	11
"ENSG00000117625"	1	2	2	4	7
"ENSG00000117632"	2	3	7	12	25
"ENSG00000117640"	4	6	7	11	27
"ENSG00000117643"	1	1	2	9	23
"ENSG00000117650"	1	1	3	4	8
"ENSG00000117676"	1	1	3	10	27
"ENSG00000117682"	3	3	6	12	28
"ENSG00000117691"	2	2	3	6	12
"ENSG00000117697"	1	2	5	9	13
"ENSG00000117707"	1	1	1	1	3
"ENSG00000117713"	1	2	3	10	23
"ENSG00000117724"	1	1	2	2	4
"ENSG00000117748"	2	3	8	11	21
"ENSG00000117751"	3	4	7	12	25
"ENSG00000117758"	1	3	6	12	26
"ENSG00000117791"	2	2	3	5	7
"ENSG00000117834"	1	1	2	4	7
"ENSG00000117859"	1	1	1	4	10
"ENSG00000117862"	3	4	4	7	11
"ENSG00000118193"	1	2	2	4	9
"ENSG00000118194"	2	4	5	9	16
"ENSG00000118197"	1	2	3	6	11
"ENSG00000118200"	1	1	3	7	12
"ENSG00000118217"	1	1	1	9	12
"ENSG00000118292"	5	7	8	12	37
"ENSG00000118298"	4	6	8	12	37
"ENSG00000118454"	1	2	3	6	6
"ENSG00000118473"	1	2	2	5	9
"ENSG00000118655"	4	5	7	10	11
"ENSG00000118729"	1	2	2	4	6
"ENSG00000118733"	1	1	1	1	1
"ENSG00000118873"	1	1	2	5	8
"ENSG00000119280"	1	1	3	7	13
"ENSG00000119283"	1	3	3	9	15
"ENSG00000119285"	2	2	3	5	9
"ENSG00000119535"	3	3	5	9	16
"ENSG00000120332"	1	2	4	6	6
"ENSG00000120333"	3	3	4	5	6
"ENSG00000120334"	2	3	5	8	10
"ENSG00000120337"	1	1	1	2	6
"ENSG00000120341"	1	1	1	2	2
"ENSG00000120370"	1	1	1	2	5
"ENSG00000120656"	2	3	5	8	16
"ENSG00000120937"	3	3	7	16	19
"ENSG00000120942"	2	2	3	7	17
"ENSG00000120948"	2	5	6	8	11
"ENSG00000120949"	1	1	4	8	19
"ENSG00000120952"	3	5	10	15	20
"ENSG00000121310"	3	3	4	8	15
"ENSG00000121446"	1	1	3	6	10
"ENSG00000121454"	2	2	3	4	9
"ENSG00000121481"	1	2	4	5	7
"ENSG00000121486"	2	3	3	5	6
"ENSG00000121634"	2	2	2	5	7
"ENSG00000121644"	1	2	2	5	9
"ENSG00000121753"	1	3	3	8	23
"ENSG00000121764"	2	4	4	9	17
"ENSG00000121766"	1	3	6	7	14
"ENSG00000121769"	2	3	5	8	14
"ENSG00000121774"	1	2	4	14	25
"ENSG00000121775"	2	3	4	15	26
"ENSG00000121848"	1	3	7	17	20
"ENSG00000121851"	4	6	10	16	21
"ENSG00000121900"	2	5	7	14	19
"ENSG00000121903"	1	2	3	5	9
"ENSG00000121904"	2	2	2	2	5
"ENSG00000121905"	3	5	7	13	20
"ENSG00000121931"	1	1	2	6	15
"ENSG00000121933"	2	3	6	11	15
"ENSG00000121940"	4	4	4	11	20
"ENSG00000121957"	3	3	5	12	20
"ENSG00000122176"	1	2	3	8	19
"ENSG00000122180"	3	3	6	12	19
"ENSG00000122188"	2	4	5	5	16
"ENSG00000122218"	1	5	7	16	29
"ENSG00000122223"	2	3	5	13	36
"ENSG00000122224"	2	2	4	12	36
"ENSG00000122406"	2	3	3	4	8
"ENSG00000122417"	1	1	3	5	7
"ENSG00000122420"	1	1	1	3	8
"ENSG00000122435"	3	4	5	9	12
"ENSG00000122477"	3	4	5	9	12
"ENSG00000122481"	2	3	3	4	6
"ENSG00000122482"	1	1	1	1	3
"ENSG00000122483"	1	2	3	5	9
"ENSG00000122484"	1	1	2	7	12
"ENSG00000122497"	1	1	2	4	6
"ENSG00000123080"	2	2	2	3	6
"ENSG00000123091"	1	2	3	4	7
"ENSG00000123472"	3	5	5	9	21
"ENSG00000123473"	1	2	4	9	13
"ENSG00000123684"	1	1	1	5	9
"ENSG00000123685"	1	2	5	8	13
"ENSG00000123689"	3	3	5	8	9
"ENSG00000123836"	3	5	6	11	19
"ENSG00000123838"	2	3	5	10	17
"ENSG00000123843"	3	4	5	11	18
"ENSG00000125459"	3	3	4	8	30
"ENSG00000125462"	1	4	5	21	41
"ENSG00000125703"	1	1	1	4	6
"ENSG00000125944"	1	3	4	10	20
"ENSG00000125945"	4	4	5	10	21
"ENSG00000126067"	1	2	6	9	14
"ENSG00000126070"	1	1	5	10	23
"ENSG00000126088"	3	4	4	11	21
"ENSG00000126091"	1	1	1	10	20
"ENSG00000126106"	3	3	4	11	16
"ENSG00000126107"	4	4	4	11	20
"ENSG00000126698"	5	6	6	10	22
"ENSG00000126705"	1	2	4	12	21
"ENSG00000126709"	1	2	4	10	21
"ENSG00000127054"	6	9	16	29	49
"ENSG00000127074"	1	1	2	3	9
"ENSG00000127124"	1	1	1	1	6
"ENSG00000127125"	3	4	4	7	17
"ENSG00000127129"	2	2	3	4	6
"ENSG00000127423"	4	6	7	11	25
"ENSG00000127463"	3	4	6	7	16
"ENSG00000127472"	1	1	4	10	18
"ENSG00000127481"	1	1	2	9	14
"ENSG00000127483"	1	4	4	8	12
"ENSG00000127603"	1	1	1	4	16
"ENSG00000130695"	3	3	9	17	27
"ENSG00000130762"	2	3	3	6	13
"ENSG00000130764"	4	4	6	10	12
"ENSG00000130766"	2	3	8	10	22
"ENSG00000130768"	3	4	7	10	21
"ENSG00000130770"	3	6	7	9	23
"ENSG00000130772"	1	3	5	11	22
"ENSG00000130775"	2	4	8	11	23
"ENSG00000130939"	1	1	2	6	16
"ENSG00000130940"	1	1	2	4	15
"ENSG00000131233"	4	4	4	7	7
"ENSG00000131236"	2	2	3	9	21
"ENSG00000131238"	2	2	3	9	20
"ENSG00000131584"	5	8	17	30	50
"ENSG00000131591"	2	3	6	26	43
"ENSG00000131686"	1	2	4	6	8
"ENSG00000131697"	1	1	2	4	12
"ENSG00000131778"	1	2	3	3	7
"ENSG00000131779"	4	7	12	18	20
"ENSG00000131781"	1	3	3	4	6
"ENSG00000131788"	4	6	9	17	20
"ENSG00000131791"	2	2	3	4	6
"ENSG00000131795"	4	7	12	17	20
"ENSG00000131910"	4	6	9	12	24
"ENSG00000131914"	2	3	6	13	27
"ENSG00000132122"	1	1	1	3	6
"ENSG00000132128"	3	3	7	11	18
"ENSG00000132185"	2	4	7	9	21
"ENSG00000132196"	3	3	3	4	13
"ENSG00000132485"	2	2	2	2	3
"ENSG00000132676"	3	4	4	10	29
"ENSG00000132677"	2	4	9	21	42
"ENSG00000132680"	4	5	7	16	30
"ENSG00000132681"	2	6	9	18	29
"ENSG00000132688"	2	5	12	20	36
"ENSG00000132692"	3	5	12	19	36
"ENSG00000132693"	1	1	3	13	24
"ENSG00000132694"	1	1	3	11	22
"ENSG00000132698"	5	6	8	23	31
"ENSG00000132702"	3	7	9	19	37
"ENSG00000132703"	1	1	2	8	22
"ENSG00000132704"	1	2	4	7	9
"ENSG00000132716"	2	6	8	16	30
"ENSG00000132718"	2	4	6	15	29
"ENSG00000132763"	4	5	6	14	17
"ENSG00000132768"	6	8	8	11	14
"ENSG00000132773"	4	5	5	10	19
"ENSG00000132780"	2	4	8	11	16
"ENSG00000132781"	4	5	5	10	19
"ENSG00000132849"	1	1	1	3	6
"ENSG00000132854"	1	1	2	5	7
"ENSG00000132855"	3	3	3	5	8
"ENSG00000132879"	4	5	6	12	20
"ENSG00000132881"	4	4	5	13	23
"ENSG00000132906"	3	4	7	14	20
"ENSG00000133019"	1	1	1	1	2
"ENSG00000133048"	3	4	5	11	19
"ENSG00000133055"	3	4	6	12	19
"ENSG00000133056"	1	2	4	6	11
"ENSG00000133059"	1	1	5	9	14
"ENSG00000133063"	1	1	6	10	18
"ENSG00000133065"	1	3	5	9	16
"ENSG00000133067"	1	1	4	7	15
"ENSG00000133069"	1	2	4	9	15
"ENSG00000133216"	1	1	1	8	12
"ENSG00000133226"	1	2	3	7	9
"ENSG00000134183"	3	4	8	16	26
"ENSG00000134184"	3	5	8	15	27
"ENSG00000134186"	2	4	5	9	16
"ENSG00000134193"	1	2	4	6	10
"ENSG00000134198"	1	2	3	4	10
"ENSG00000134200"	2	3	3	3	10
"ENSG00000134201"	3	5	6	14	26
"ENSG00000134202"	3	5	6	15	27
"ENSG00000134207"	1	1	1	7	13
"ENSG00000134215"	1	1	1	1	4
"ENSG00000134216"	1	2	3	12	17
"ENSG00000134222"	3	5	6	15	29
"ENSG00000134240"	2	3	3	7	9
"ENSG00000134242"	1	3	7	10	10
"ENSG00000134243"	1	3	5	15	28
"ENSG00000134245"	1	3	3	9	10
"ENSG00000134247"	1	1	2	7	10
"ENSG00000134248"	2	3	4	8	15
"ENSG00000134249"	2	2	3	6	10
"ENSG00000134250"	1	1	2	5	9
"ENSG00000134253"	2	3	4	5	10
"ENSG00000134255"	3	4	4	7	15
"ENSG00000134256"	1	3	4	6	10
"ENSG00000134258"	1	1	3	6	9
"ENSG00000134259"	1	1	1	2	6
"ENSG00000134262"	3	5	7	10	11
"ENSG00000134365"	2	2	5	8	11
"ENSG00000134369"	1	1	1	7	19
"ENSG00000134371"	2	2	4	5	6
"ENSG00000134375"	3	4	6	11	16
"ENSG00000134376"	1	1	1	4	8
"ENSG00000134389"	1	3	5	10	11
"ENSG00000134644"	1	1	2	4	10
"ENSG00000134668"	1	2	3	9	25
"ENSG00000134684"	3	3	7	13	22
"ENSG00000134686"	1	1	4	6	13
"ENSG00000134690"	3	3	5	15	19
"ENSG00000134697"	2	4	6	14	19
"ENSG00000134698"	1	2	4	7	19
"ENSG00000134709"	1	2	3	4	4
"ENSG00000134716"	1	2	3	4	4
"ENSG00000134717"	2	3	5	6	11
"ENSG00000134744"	1	1	3	9	16
"ENSG00000134748"	3	4	5	7	15
"ENSG00000135744"	2	3	3	5	10
"ENSG00000135747"	2	2	5	7	13
"ENSG00000135749"	1	1	1	3	5
"ENSG00000135750"	1	1	1	1	4
"ENSG00000135763"	2	2	3	5	10
"ENSG00000135766"	1	2	3	8	11
"ENSG00000135773"	1	1	4	7	12
"ENSG00000135775"	1	2	3	6	10
"ENSG00000135776"	1	2	4	8	9
"ENSG00000135778"	2	2	2	3	5
"ENSG00000135801"	2	2	3	5	10
"ENSG00000135821"	2	2	3	5	9
"ENSG00000135823"	2	4	5	6	8
