"gene_id"	"coding_density_50kb"	"coding_density_100kb"	"coding_density_200kb"	"coding_density_500kb"	"coding_density_1000kb"
"ENSG00000084652"	0.10796	0.0854	0.059945	0.03749	0.035158
"ENSG00000085433"	0.04852	0.02902	0.031455	0.040404	0.041435
"ENSG00000085465"	0.05218	0.03873	0.03302	0.023012	0.020152
"ENSG00000085491"	0.0183	0.01587	0.01752	0.007416	0.009792
"ENSG00000085552"	0.10146	0.06116	0.0498	0.04702	0.03895
"ENSG00000085831"	0.03508	0.03261	0.02195	0.012348	0.011257
"ENSG00000085832"	0.01366	0.02157	0.014435	0.011812	0.013144
"ENSG00000085840"	0.06766	0.07994	0.055545	0.032886	0.024614
"ENSG00000085998"	0.07546	0.04227	0.044325	0.036318	0.027335
"ENSG00000085999"	0.08652	0.05448	0.050655	0.03724	0.026285
"ENSG00000086015"	0.0031	0.00279	0.00583	0.01908	0.030184
"ENSG00000086619"	0.0204	0.01642	0.011685	0.011914	0.024074
"ENSG00000088035"	0.01964	0.01609	0.01741	0.014938	0.007785
"ENSG00000088280"	0.0488	0.03178	0.035245	0.02062	0.026697
"ENSG00000090020"	0.02128	0.02631	0.013155	0.040144	0.039421
"ENSG00000090104"	0.01392	0.00696	0.00588	0.004542	0.005764
"ENSG00000090273"	0.04628	0.0565	0.04784	0.041078	0.037275
"ENSG00000090432"	0.02592	0.02128	0.0122	0.02968	0.02391
"ENSG00000090621"	0.042	0.02636	0.030235	0.06515	0.043149
"ENSG00000090686"	0.04024	0.03075	0.028315	0.045426	0.029581
"ENSG00000091483"	0.03174	0.01894	0.01932	0.016572	0.012697
"ENSG00000092607"	0.01442	0.00918	0.012525	0.00604	0.005234
"ENSG00000092621"	0.009	0.01745	0.025575	0.028144	0.0196582354095999
"ENSG00000092847"	0.05148	0.03176	0.02925	0.035472	0.036541
"ENSG00000092850"	0.09002	0.05333	0.048145	0.039432	0.034319
"ENSG00000092853"	0.0822	0.048	0.034875	0.030976	0.032248
"ENSG00000092969"	0.00328	0.01329	0.010195	0.00498	0.00249
"ENSG00000092978"	0.00136	0.00179	0.00782	0.004686	0.002706
"ENSG00000094963"	0.02832	0.02046	0.029055	0.020538	0.021109
"ENSG00000094975"	0.05702	0.04353	0.025995	0.015426	0.00885
"ENSG00000097021"	0.01178	0.00994	0.028235	0.054202	0.040474
"ENSG00000097033"	0.02322	0.01161	0.005805	0.013954	0.01365
"ENSG00000097046"	0.0345	0.01725	0.008625	0.016018	0.011368
"ENSG00000097096"	0.0717	0.03861	0.037235	0.02291	0.014352
"ENSG00000099260"	0.034	0.02603	0.018045	0.01631	0.017789
"ENSG00000107404"	0.15126	0.13858	0.11517	0.07258	0.071827
"ENSG00000116128"	0	0.04303	0.02813	0.013406	0.014627
"ENSG00000116132"	0.00352	0.00797	0.003985	0.004116	0.008262
"ENSG00000116133"	0.03318	0.01793	0.02468	0.03852	0.027325
"ENSG00000116138"	0.05824	0.03836	0.037865	0.042188	0.045206
"ENSG00000116141"	0.01716	0.01419	0.013485	0.01021	0.013623
"ENSG00000116147"	0	0	0	0.008154	0.008861
"ENSG00000116151"	0.01798	0.03112	0.02614	0.04295	0.0324315789473684
"ENSG00000116157"	0.01128	0.00886	0.0144	0.03039	0.027916
"ENSG00000116161"	0.02994	0.01944	0.020315	0.013104	0.011466
"ENSG00000116171"	0.01156	0.01419	0.02577	0.027554	0.021036
"ENSG00000116183"	0.00292	0.01427	0.02102	0.013374	0.009861
"ENSG00000116191"	0.00788	0.02083	0.01637	0.009008	0.015097
"ENSG00000116194"	0.0391	0.02947	0.01637	0.015272	0.016619
"ENSG00000116198"	0.06476	0.0542	0.045976182255729	0.0386228571428571	0.0277858823529412
"ENSG00000116199"	0.0246	0.02541	0.03043	0.018608	0.014484
"ENSG00000116205"	0.01836	0.02018	0.0252	0.025376	0.015639
"ENSG00000116209"	0.02682	0.02274	0.02533	0.02829	0.015606
"ENSG00000116212"	0.0277	0.02159	0.028885	0.02432	0.017703
"ENSG00000116213"	0.0454	0.02871	0.023505	0.04666	0.0282576470588235
"ENSG00000116218"	0.02304	0.02518	0.025095	0.018384	0.024556
"ENSG00000116221"	0.05252	0.04234	0.029615	0.019522	0.022291
"ENSG00000116237"	0.08864	0.05805	0.04948	0.04589	0.040134
"ENSG00000116251"	0.04786	0.0542	0.06443	0.036322	0.040062
"ENSG00000116254"	0.0941	0.07159	0.056765	0.034602	0.038873
"ENSG00000116260"	0.04506	0.02253	0.03414	0.026824	0.018324
"ENSG00000116266"	0.02798	0.03448	0.041885	0.03515	0.034166
"ENSG00000116273"	0.0889	0.10126	0.063845	0.042558	0.03306
"ENSG00000116285"	0.02928	0.01942	0.014365	0.01492	0.01818
"ENSG00000116288"	0.012	0.02873	0.014365	0.019112	0.017906
"ENSG00000116299"	0.01776	0.03168	0.04883	0.0501	0.047667
"ENSG00000116329"	0.01054	0.01119	0.014035	0.01518	0.020692
"ENSG00000116337"	0.07858	0.0617	0.048085	0.036926	0.043561
"ENSG00000116350"	0.0297	0.03224	0.02642	0.021048	0.0170349585995809
"ENSG00000116353"	0.0239	0.02373	0.034245	0.021048	0.0165694117647059
"ENSG00000116396"	0.02696	0.02558	0.03601	0.030366	0.023754
"ENSG00000116406"	0.04466	0.02847	0.02345	0.011972	0.011636
"ENSG00000116455"	0.05666	0.05071	0.03302	0.020528	0.020152
"ENSG00000116459"	0.04608	0.06028	0.03014	0.019756	0.01791
"ENSG00000116473"	0	0	0.007865	0.022082	0.018278
"ENSG00000116478"	0.04074	0.04521	0.046915	0.037802	0.032314
"ENSG00000116489"	0.01644	0.03174	0.041165	0.023542	0.016537
"ENSG00000116497"	0.02578	0.02609	0.043365	0.033556	0.027231
"ENSG00000116514"	0.05192	0.02612	0.027685	0.029232	0.025998
"ENSG00000116521"	0.1407	0.11223	0.12718	0.088022	0.062708
"ENSG00000116525"	0.02946	0.01827	0.01488	0.022802	0.032487
"ENSG00000116539"	0.01688	0.05588	0.038415	0.062272	0.070115
"ENSG00000116544"	0.04	0.03219	0.02835	0.029228	0.019902
"ENSG00000116560"	0.04248	0.02124	0.02796	0.029456	0.028707
"ENSG00000116574"	0.01554	0.00777	0.003885	0.003864	0.03403
"ENSG00000116580"	0.02774	0.05634	0.0523	0.048046	0.054212
"ENSG00000116584"	0.04878	0.05578	0.05692	0.055026	0.051556
"ENSG00000116586"	0.08192	0.05106	0.049045	0.05858	0.051151
"ENSG00000116604"	0.03402	0.02494	0.042585	0.068494	0.066626
"ENSG00000116641"	0.02366	0.04362	0.04017	0.022876	0.019021
"ENSG00000116649"	0.07608	0.07482	0.057635	0.039422	0.030429
"ENSG00000116652"	0.04116	0.02469	0.021195	0.01557	0.007857
"ENSG00000116661"	0.06184	0.03413	0.02585	0.039616	0.03604
"ENSG00000116663"	0.06826	0.0435	0.03474	0.039616	0.035902
"ENSG00000116667"	0.0019	0.00189	0.001635	0.006426	0.006836
"ENSG00000116668"	0.01836	0.02233	0.03286	0.016052	0.011601
"ENSG00000116670"	0.0527	0.04463	0.04128	0.04366	0.035902
"ENSG00000116675"	0.00386	0.00666	0.01723	0.009224	0.011351
"ENSG00000116678"	0	0.00494	0.01521	0.014154	0.008403
"ENSG00000116679"	0.04334	0.02299	0.01384	0.016052	0.009629
"ENSG00000116685"	0.04546	0.04295	0.053115	0.046166	0.043249
"ENSG00000116688"	0.0534	0.0566	0.04025	0.044928	0.043652
"ENSG00000116690"	0.11238	0.09144	0.064025	0.047864	0.032366
"ENSG00000116691"	0.05264	0.03511	0.03756	0.042992	0.041544
"ENSG00000116698"	0.08016	0.052	0.029115	0.01544	0.020227
"ENSG00000116701"	0.04956	0.05058	0.035205	0.01485	0.021022
"ENSG00000116703"	0.01482	0.01106	0.02469	0.031452	0.032142
"ENSG00000116704"	0.01474	0.01676	0.020775	0.019406	0.017251
"ENSG00000116711"	0.0116	0.01546	0.01125	0.00813	0.004985
"ENSG00000116717"	0.01434	0.00717	0.003585	0.001434	0.008121
"ENSG00000116721"	0.06016	0.04904	0.05132	0.03964	0.0342247058823529
"ENSG00000116726"	0.06964	0.04155	0.04134	0.0382394175981067	0.0379447058823529
"ENSG00000116729"	0.01966	0.01525	0.008765	0.004886	0.007198
"ENSG00000116731"	0.09636	0.05049	0.026095	0.013246	0.014289627697763
"ENSG00000116741"	0.01272	0.00636	0.00318	0.00689	0.009118
"ENSG00000116745"	0.03204	0.03567	0.02019	0.008844	0.006481
"ENSG00000116747"	0.05378	0.03801	0.02477	0.013694	0.008659
"ENSG00000116748"	0.04926	0.04728	0.044375	0.024804	0.017023
"ENSG00000116750"	0.03266	0.0333	0.022025	0.014966	0.008659
"ENSG00000116752"	0.02728	0.02663	0.022195	0.026018	0.018551
"ENSG00000116754"	0.03786	0.02814	0.023525	0.021754	0.011495
"ENSG00000116761"	0.02436	0.01218	0.010775	0.012056	0.011148
"ENSG00000116771"	0.0479	0.03686	0.043085	0.040846	0.045316
"ENSG00000116774"	0.0717	0.0501	0.047105	0.032422	0.025435
"ENSG00000116783"	0.01798	0.01516	0.01776	0.026174	0.016889
"ENSG00000116785"	0.02158	0.03355	0.025175	0.020504	0.028074
"ENSG00000116786"	0.0612	0.06861	0.04709	0.05974	0.049258
"ENSG00000116791"	0.02688	0.01793	0.01391	0.021046	0.015104
"ENSG00000116793"	0.03738	0.04709	0.04059	0.039266	0.022821
"ENSG00000116809"	0.12076	0.13427	0.099915	0.06485	0.048713
"ENSG00000116815"	0.01388	0.0233	0.02188	0.01829	0.016413
"ENSG00000116819"	0.07306	0.041	0.02419	0.036496	0.030097
"ENSG00000116824"	0.02152	0.01076	0.00708	0.018226	0.021039
"ENSG00000116830"	0.06978	0.05522	0.048475	0.023788	0.018184
"ENSG00000116833"	0.00536	0.00529	0.009795	0.003918	0.007615
"ENSG00000116852"	0.09862	0.05926	0.060835	0.061302	0.04439
"ENSG00000116857"	0.01296	0.0249	0.082455	0.058678	0.039871
"ENSG00000116863"	0.09002	0.0553	0.048145	0.038954	0.033835
"ENSG00000116871"	0.0517	0.03203	0.03852	0.037348	0.032946
"ENSG00000116874"	0.00516	0.00425	0.006585	0.00604	0.006362
"ENSG00000116882"	0.0219	0.02214	0.01107	0.01014	0.011882
"ENSG00000116883"	0.08618	0.07449	0.042465	0.040742	0.02867
"ENSG00000116885"	0.03526	0.05218	0.03353	0.025334	0.025666
"ENSG00000116898"	0.07538	0.04846	0.02665	0.025334	0.025494
"ENSG00000116903"	0.07384	0.04082	0.03733	0.022362	0.018357
"ENSG00000116906"	0.04986	0.03191	0.04503	0.021684	0.019348
"ENSG00000116918"	0.01788	0.00894	0.004805	0.015238	0.01416
"ENSG00000116922"	0.0291	0.03274	0.030215	0.040648	0.025182
"ENSG00000116954"	0.03472	0.03688	0.02258	0.011272	0.017685
"ENSG00000116957"	0.01426	0.02215	0.021445	0.01763	0.0229852631578947
"ENSG00000116962"	0.03628	0.03744	0.01872	0.024354	0.01897
"ENSG00000116977"	0.05738	0.05466	0.03974	0.021938	0.019392
"ENSG00000116981"	0.03366	0.0267	0.02739	0.039126	0.044554
"ENSG00000116983"	0.02634	0.01763	0.0315	0.03519	0.044554
"ENSG00000116984"	0.03216	0.03784	0.02615	0.015138	0.015685
"ENSG00000116985"	0.06912	0.03964	0.028955	0.026694	0.049862
"ENSG00000116990"	0.02968	0.02034	0.021835	0.0249	0.03751
"ENSG00000116991"	0.03308	0.04298	0.026055	0.010422	0.009634
"ENSG00000116996"	0.03246	0.01623	0.01637	0.019668	0.01605
"ENSG00000117000"	0.0142	0.05982	0.03861	0.03077	0.028451
"ENSG00000117009"	0.02088	0.02598	0.032835	0.01923	0.012697
"ENSG00000117010"	0.04122	0.0352	0.031385	0.024502	0.028014
"ENSG00000117013"	0.02976	0.03745	0.02153	0.018428	0.017729
"ENSG00000117016"	0.01854	0.00927	0.010265	0.023974	0.026899
"ENSG00000117020"	0.00514	0.00515	0.003865	0.003486	0.007989
"ENSG00000117036"	0.03142	0.02657	0.013445	0.025076	0.038167
"ENSG00000117054"	0.02494	0.02844	0.018235	0.012258	0.006394
"ENSG00000117069"	0	0	0.005055	0.004238	0.003566
"ENSG00000117090"	0.02082	0.01087	0.01468	0.019808	0.039003
"ENSG00000117091"	0.01714	0.00988	0.01453	0.01856	0.039498
"ENSG00000117114"	0	0	0	0.000146	0.004559
"ENSG00000117115"	0.0382	0.02202	0.02297	0.0373443899397299	0.0236189473684211
"ENSG00000117118"	0.01706	0.05416	0.06137	0.03826	0.0274852631578947
"ENSG00000117122"	0.13644	0.10337	0.05958	0.0319822222222222	0.0274852631578947
"ENSG00000117133"	0.02562	0.01281	0.017625	0.012786	0.010408
"ENSG00000117139"	0.04454	0.04743	0.026805	0.024638	0.027811
"ENSG00000117143"	0.03138	0.01569	0.014375	0.02005	0.012237
"ENSG00000117148"	0	0.01101	0.008785	0.010334	0.009334
"ENSG00000117151"	0.02316	0.01158	0.018895	0.01254	0.012168
"ENSG00000117152"	0.01842	0.00921	0.00735	0.00527	0.009105
"ENSG00000117153"	0.03894	0.03321	0.02682	0.031192	0.026058
"ENSG00000117154"	0.00226	0.00275	0.00197	0.007556	0.006442
"ENSG00000117155"	0.03796	0.0227	0.013975	0.011542	0.015335
"ENSG00000117174"	0.00996	0.01413	0.01683	0.010938	0.012413
"ENSG00000117215"	0.01214	0.01658	0.014165	0.017586	0.016309
"ENSG00000117222"	0.0477	0.05876	0.042335	0.035476	0.023523
"ENSG00000117226"	0.0369	0.0525	0.035605	0.03219	0.019556
"ENSG00000117228"	0.03558	0.03612	0.04505	0.030812	0.019556
"ENSG00000117245"	0.0536	0.06757	0.04767	0.030756	0.021466
"ENSG00000117262"	0.01926	0.0335157162152881	0.0256866666666667	0.0319333333333333	0.0434345566344778
"ENSG00000117266"	0.0303	0.01515	0.01682	0.024086	0.029498783808935
"ENSG00000117280"	0.02198	0.02383	0.02322	0.0311862491519183	0.0229505882352941
"ENSG00000117281"	0.024	0.02202	0.024095	0.0469222222222222	0.0421312620675618
"ENSG00000117289"	0.05658	0.05146	0.07357	0.061408	0.0391747368421053
"ENSG00000117298"	0.01962	0.01823	0.012345	0.008892	0.016866
"ENSG00000117305"	0.0405	0.0483	0.04155	0.02431	0.026965
"ENSG00000117308"	0.06738	0.05914	0.04155	0.022264	0.028048
"ENSG00000117318"	0.0072	0.01674	0.01113	0.03115	0.026343
"ENSG00000117322"	0.068	0.03766	0.03865	0.028226	0.024052
"ENSG00000117335"	0.02512	0.01256	0.014345	0.022154	0.022418
"ENSG00000117360"	0.04104	0.02521	0.030625	0.04461	0.042053
"ENSG00000117362"	0.06948	0.04599	0.03428	0.036242	0.041383
"ENSG00000117385"	0.08144	0.05081	0.049325	0.028086	0.023299
"ENSG00000117394"	0.03484	0.01742	0.01745	0.025878	0.038438
"ENSG00000117395"	0.04902	0.04623	0.046145	0.052898	0.044994
"ENSG00000117399"	0.09204	0.0787	0.1047	0.061062	0.037761
"ENSG00000117400"	0.09286	0.08785	0.09337	0.056742	0.038793
"ENSG00000117407"	0.06678	0.07971	0.05978	0.029764	0.031278
"ENSG00000117408"	0.13668	0.10578	0.059315	0.027084	0.025958
"ENSG00000117410"	0.15738	0.11123	0.059315	0.030214	0.025958
"ENSG00000117411"	0.15266	0.1092	0.059315	0.030214	0.025958
"ENSG00000117419"	0.00498	0.00676	0.01365	0.00905	0.024557
"ENSG00000117425"	0.098	0.09273	0.06259	0.04592	0.026503
"ENSG00000117448"	0.02124	0.03102	0.04408	0.035304	0.024601
